Adversary,Level,Skills,Talents,Abilities,Equipment,Index
"""Ironarm"" Stormtrooper Commander",Nemesis,Athletics 3; Discipline 3; Leadership 2; Melee 3; Ranged [Light] 2; Resilience 3; Vigilance 2,Adversary 1; Parry 4,Tactical Direction,Cybernetic Arms (Mod V and Mod VI); Extra Reload; Frag Grenade; Reinforced Vibrosword; Stormtrooper Armor; Utility Belt,HD:21
"""Lookout""",Rival,Gunnery 2; Piloting [Planetary] 2; Perception 3,None,Droid; Scomp Link Piloting,None,GMK:9*
"""Too Low"" Talo",Rival,Athletics 2; Cool 1; Deception 1; Leadership 1; Melee 2; Negotiation 2; Piloting [Planetary] 2; Ranged [Light] 2; Vigilance 2,Adversary 1,None,Blaster Pistol; Comlink (handheld); Padded Armor; Utility Belt; Vibroknife,BtR:29
"""Zekra Fol""",Nemesis,Brawl 2; Charm 3; Coercion 3; Cool 3; Deception 3; Discipline 4; Outer Rim 2; Underworld 2; Negotiation 2; Perception 3; Ranged [Light] 2; Streetwise 2; Vigilance 3,Adversary 1; Nobody's Fool 2; Plausible Deniability 2; Smooth Talker 2,None,Datapad; Holdout Blaster; Personal Deflector Shield,JoY:62*
2-1B Medical Droid,Rival,Discipline 1; Medicine 3; Perception 2,None,Droid,built-in diagnostic and surgical tools,RaGP:43
3D-4K,Rival,Charm 2; Computers 2; Xenology 1; Perception 1,None,Droid,None,GMK:10*
3PX-Series Protocol Droid,Rival,Charm 1; Education 3; Outer Rim 3; Xenology 3; Negotiation 2,None,Droid; Etiquette and Protocol,None,DA:54
501-Z Police Droid,Rival,Coercion 2; Melee 2; Piloting [Planetary] 2; Ranged [Heavy] 3; Streetwise 3; Vigilance 3,Adversary 1; Nobody's Fool 1,Droid,Activv1 Riot Shield; Binders; Blaster Carbine; Built-in comlink; Stun Baton,SoR:139
5YQ-Series Protol Droid,Rival,Charm 1; Education 1; Core Worlds 1; Lore 1; Outer Rim 1; Underworld 1; Warfare 1; Xenology 1,None,Droid; Etiquette and Protocol,None,DA:55
A0-2,Nemesis,Athletics 2; Brawl 3; Cool 3; Melee 4; Perception 3; Ranged [Heavy] 3; Ranged [Light] 2; Skullduggery 2; Streetwise 2; Vigilance 4,Lethal Blows 3; Precise Aim 2; Targeted Blow,Droid,Blaster Rifle; Integrated Comlink; Integrated Vibroblade; Laminate Armor,LoNH:136*
AC Law Enforcement Droid,Rival,Discipline 2; Coercion 2; Melee 2; Piloting [Planetary] 2; Streetwise 3; Vigilance 3,Nobody's Fool 1,Droid,Activv1 Riot Shield; Binders; Built-in comlink; Stun Baton,FH:49
Accomplished Mechanic,Rival,Computers 2; Mechanics 2; Survival 1; Vigilance 1,Gearhead 1; Force Rating 1; Imbue Item,None,Emergency Repair Kit; Holdout Blaster; Tool Kit,F-CRB:411
Adamite Tower Paladin,Nemesis,Discipline 2; Medicine 3; Melee 2; Lightsaber 2; Ranged [Heavy] 2; Vigilance 2,Adversary 1; Force Rating 2; Parry 3,Force Power Enhance; Force Power Heal/Harm,Adamite Signet Ring; Longbow; Quiver of Arrows; Reforged Star Armor; Sunfire Sword; Warhorse,NoP:36
Advozse Mercenaries,Rival,Ranged [Light] 1; Vigilance 1,None,None,Blast Vest; Blaster Pistol; Comlink (handheld); Vibroknife,F-BGA:21; F-BGA:25
"Aimee ""Flutterplume"" Kraeff",Nemesis,Athletics 3; Brawl 4; Cool 2; Discipline 2; Melee 3; Resilience 3; Streetwise 2; Survival 3; Vigilance 3,Adversary 2; Frenzied Attack 2,None,Colorful wrestling costume; Feathered mask; Heavy Clothing; Pair of vibroknucklers,MPQ:58*
Aleena Wanderer,Minion,Charm; Coordination; Lore; Mechanics; Medicine; Survival,None,Silhouette 0,Robes; Traveling Pack,NoP:55
Alliance Commander,Nemesis,Discipline 3; Warfare 3; Leadership 3; Ranged [Heavy] 2; Ranged [Light] 3; Perception 3; Vigilance 2,Adversary 2; Command 2; Field Commander,Improved Covering Fire,Blast Vest; Blaster Carbine; Light Blaster Pistol,A-CRB:412; IaRAD:14
Alliance Infantry,Minion,Melee; Ranged [Heavy]; Vigilance,None,Covering Fire,Blast Vest; Blaster Rifle; Combat Knife,A-CRB:411; IaRAD:13
Ambrae Environmental Security Guard,Minion,Melee; Perception; Piloting [Planetary]; Ranged [Light]; Vigilance,None,None,Blaster Pistol; Breath Masks and Respirators; Comlink (handheld); Padded Armor; Truncheon,MPQ:67
Analysis Droid,Minion,Computers; Education,Technical Aptitude 2,Droid; Silhouette 0,Datapad,F-CRB:409
Ancient Hutt Security Droid,Rival,Melee 2; Ranged [Heavy] 2; Vigilance 3,None,Droid; Huttese,Blaster Carbine; Vibrosword,LoNH:144
Antiquated Battle Droid,Minion,Ranged [Heavy],None,Droid,Blaster Rifle,E-CRB:410
Apprentice Hunter,Minion,Perception; Ranged [Light],None,None,Blaster Pistol; Heavy Clothing,E-CRB:399; SaVAD:5*
Aqualish Thug,Minion,Brawl; Coercion; Melee; Ranged [Light],None,None,Blaster Pistol; Brass Knuckles,E-BGR:46; E-CRB:391
Aqualish Thug,Minion,Brawl; Coercion; Ranged [Light],None,None,Blaster Pistol; Brass Knuckles,SoF:126
Arak-Series Probe Droid,Rival,Computers 3; Perception 3; Ranged [Light] 1,None,Droid; Repulsorlift Locomotion; Sensors,Built-in blaster pistol; Built-in sensors; holocam; and comlink,BtR:71
