Item,Sil,Spd,Hand,Model,Man,Nav,Crew,Encum,Pass,Cost,Rarity,HP,Wep,Class
A-7 Hunter Interceptor,3,5,2,A-series,Kuat Drive Yards,None,1,4,0,"80,000",6,1,1,Starfighter
A-Type Stiletto,3,4,0,A-type Stiletto,"Nubia Star Drives, Inc.",None,1,8,0,"90,000",7,0,2,Starfighter
"A/SF-01 ""B-Wing"" Heavy Fast Attack Starfighter",3,4,-1,A/SF-01 B-Wing,Slayn & Korpil,Yes,1,15,0,"150,000",6,1,4,Starfighter
"Alpha-3 Nimbus ""V-Wing"" Interceptor",3,4,2,A3-Nimbus,Kuat Systems Engineering,Astromech Droid Socket,2,5,0,"70,000",7,2,2,Starfighter
ARC-40b Scout-Reconnaissance Fighter,3,4,-1,ARC-40b,Kuat Drive Yards,Astromech Droid Socket,3,10,0,"85,000",7,2,5,Starfighter
Blade-32 Superiority Fighter,3,4,-2,Blade-32,Tarrvin-on-Kallik,Yes,2,10,1,"60,000",7,1,3,Starfighter
BTL-A4 Y-Wing Attack Starfighter,3,4,0,BTL Y-Wing,Koensayr Manufacturing,Astromech Droid Socket,1,10,0,"80,000",4,1,3,Starfighter
BTL-S3 Y-Wing Attack Starfighter,3,4,0,BTL Y-Wing,Koensayr Manufacturing,Astromech Droid Socket,2,10,0,"80,000",4,1,3,Starfighter
"BTS-A2 ""H-Wing"" Long-range Strike Starfighter",3,3,-2,BTS-A2 H-wing,Koensayr Manuracturing,Yes,3,15,1,"225,000",6,1,3,Starfighter
CL-1c Lancet Interceptor,3,5,1,CL-1c,Corellian Engineering Corporation,Yes,1,4,1,"55,000",5,0,1,Starfighter
Cloakshape Fighter,3,4,0,CloakShape,Kuat Systems Engineering,None,1,12,0,"38,000",4,3,2,Starfighter
Cutlass-9 Patrol Fighter,3,3,0,Cutlass,SoroSuub Corporation,Yes,1,12,0,"40,000",4,3,3,Starfighter
Delta-12 Skysprite,3,4,1,D-12,Kuat Systems Engineering,Astromech Droid Socket,1,8,1,"85,000",8,3,0,Starfighter
Delta-6 System Defense Starfighter,3,4,1,Delta-6,Kuat Systems Engineering,None,1,8,0,"30,000",4,2,1,Starfighter
Delta-7 Aethersprite Interceptor,3,5,2,Delta-7,Kuat Systems Engineering,Astromech Droid Socket,2,4,0,"78,000",6,2,1,Starfighter
E-7 E-Wing Multi-Role Starfighter,3,5,1,E-Wing,FreiTek Incorporated,Astromech Droid Socket,2,8,0,"160,000",8,1,2,Starfighter
H-60 Tempest Heavy Bomber,4,3,-1,H-60 Tempest,Slayn & Korpil,None,2,12,0,"172,000",5,2,4,Starfighter
HH-87 Starhopper Starfighter,3,4,1,HH-87 Starhopper,MandalMotors,Yes,1,6,0,"50,000",4,2,1,Starfighter
HLAF-500 Starfighter,3,4,1,HLAF-500,Corellian Engineering Corporation,Yes,1,6,0,"70,000",5,1,1,Starfighter
Kihraxz Light Starfighter,3,4,0,Kihraxz,"TransGalMeg, Inc",Yes,1,7,0,"65,000",6,5,3,Starfighter
Koensayr AD-1S Moduilar Multi-role Starfighter,3,3,0,AD-1S,Koensayr Manufacturing,None,1,10,2,"25,000",7,8,0,Starfighter
LAF-250 Starfighter,3,4,0,LAF-250,Corellian Engineering Corporation,None,1,6,0,"60,000",4,1,1,Starfighter
M12-L Kimogila Heavy Starfighter,4,4,-1,M12-L Kimogila,MandalMotors,Yes,1,20,0,"150,000",5,2,3,Starfighter
MandalMotors M3-A Scyk Interceptor,3,5,2,M3-A Scyk,MandalMotors,Yes,1,4,0,"55,000",4,2,1,Starfighter
Mandalorian Protectorate Starfighter,3,6,3,Fang fighter,MandalMotors,Yes,1,2,0,"120,000",9,1,2,Starfighter
